id,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price
600,6000,3,1,2,yes,no,no,no,yes,1,no,unfurnished,7350000
643,6600,3,2,3,yes,no,no,no,yes,0,yes,unfurnished,6293000
1032,5400,4,1,2,yes,no,no,no,no,0,no,unfurnished,2870000
35,7000,3,2,4,yes,no,no,no,yes,2,no,furnished,8080940
1036,2640,2,1,1,no,no,no,no,no,1,no,furnished,2835000
170,5500,3,2,1,yes,no,yes,no,no,0,no,semi-furnished,5250000
1087,3620,2,1,1,yes,no,no,no,no,0,no,unfurnished,1750000
338,3780,2,1,2,yes,yes,yes,no,no,0,no,semi-furnished,3885000
559,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished,9240000
1001,2398,3,1,1,yes,no,no,no,no,0,yes,semi-furnished,3118850
362,4050,2,1,1,yes,no,no,no,no,0,no,furnished,3710000
686,6660,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished,5652500
775,5400,2,1,2,yes,no,no,no,no,0,yes,semi-furnished,4690000
164,6710,3,2,2,yes,yes,yes,no,no,1,yes,furnished,5390000
967,3720,2,1,1,no,no,no,no,yes,0,no,unfurnished,3360000
951,5320,2,1,1,yes,no,no,no,no,1,yes,unfurnished,3465000
679,7000,3,1,1,yes,no,yes,no,no,2,yes,semi-furnished,5803000
781,2870,2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished,4620000
120,6540,3,1,1,yes,yes,yes,no,no,2,yes,furnished,5950000
1050,4000,3,1,2,yes,no,no,no,yes,0,no,unfurnished,2653000
8,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished,9870000
636,6750,2,1,1,yes,yes,yes,no,no,2,yes,furnished,6419000
887,7152,3,1,2,yes,no,no,no,yes,0,no,furnished,3850000
1058,4400,3,1,2,yes,no,no,no,no,0,no,unfurnished,2485000
476,5850,3,1,2,yes,no,yes,no,no,1,no,unfurnished,2940000
1020,3000,2,1,2,yes,no,no,no,no,0,no,semi-furnished,2961000
239,4000,3,1,2,yes,no,no,no,no,1,no,furnished,4585000
325,3460,4,1,2,yes,no,no,no,yes,0,no,semi-furnished,4007500
93,7200,3,2,1,yes,no,yes,no,yes,3,no,semi-furnished,6300000
1007,2160,3,1,2,no,no,yes,no,no,0,no,semi-furnished,3080000
37,9000,4,2,4,yes,no,no,no,yes,2,no,furnished,7980000
1081,3420,5,1,2,no,no,no,no,no,0,no,unfurnished,1960000
779,3880,3,2,2,yes,no,yes,no,no,2,no,semi-furnished,4620000
520,7700,2,1,1,yes,no,no,no,no,0,no,unfurnished,2450000
1051,2910,2,1,1,no,no,no,no,no,0,no,unfurnished,2604000
724,3180,3,2,2,yes,no,no,no,no,2,no,semi-furnished,5215000
451,6750,2,1,1,yes,no,no,no,no,0,no,semi-furnished,3150000
115,8000,3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished,6020000
216,6040,3,1,1,yes,no,no,no,no,2,yes,semi-furnished,4830000
449,1650,3,1,2,no,no,yes,no,no,0,no,unfurnished,3150000
341,3180,2,2,1,yes,no,yes,no,no,2,no,semi-furnished,3850000
994,1650,3,1,2,no,no,yes,no,no,0,no,unfurnished,3150000
607,6240,4,2,2,yes,no,no,no,yes,1,no,furnished,7070000
478,3600,3,1,2,no,no,no,no,no,1,no,unfurnished,2940000
131,5828,4,1,4,yes,yes,no,no,no,0,no,semi-furnished,5810000
510,2880,3,1,1,no,no,no,no,no,0,no,unfurnished,2520000
89,8580,5,3,2,yes,no,no,no,no,2,no,furnished,6440000
468,2835,2,1,1,yes,no,no,no,no,0,no,semi-furnished,3010000
419,4960,4,1,3,no,no,no,no,no,0,no,semi-furnished,3360000
86,6670,3,1,3,yes,no,yes,no,no,0,yes,unfurnished,6510000
22,8050,3,1,1,yes,yes,yes,no,yes,1,no,furnished,8645000
733,5720,2,1,2,yes,no,no,no,yes,0,yes,unfurnished,5075000
160,6210,4,1,4,yes,yes,no,no,yes,0,no,furnished,5460000
573,7950,5,2,2,yes,no,yes,yes,no,2,no,unfurnished,8400000
467,3240,3,1,2,yes,no,no,no,no,2,no,semi-furnished,3010000
952,2145,3,1,3,yes,no,no,no,no,0,yes,furnished,3465000
375,5960,3,1,2,yes,yes,yes,no,no,0,no,unfurnished,3640000
200,4520,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished,4900000
976,3180,4,1,2,yes,no,yes,no,yes,0,no,unfurnished,3290000
693,6360,3,1,3,yes,no,no,no,no,0,yes,semi-furnished,5600000
297,3640,3,2,2,yes,no,yes,no,no,0,no,unfurnished,4200000
342,7152,3,1,2,yes,no,no,no,yes,0,no,furnished,3850000
699,3650,3,2,2,yes,no,no,no,no,2,no,semi-furnished,5530000
731,11410,2,1,2,yes,no,no,no,no,0,yes,furnished,5110000
632,3960,3,1,1,yes,no,yes,no,no,2,no,semi-furnished,6475000
104,5500,3,2,1,yes,yes,yes,no,no,2,yes,furnished,6195000
942,5900,2,1,1,yes,no,no,no,no,1,no,furnished,3500000
666,7231,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished,5950000
477,4960,2,1,1,yes,no,no,no,no,0,no,unfurnished,2940000
934,4600,4,1,2,yes,no,no,no,no,0,no,semi-furnished,3500000
652,6420,3,1,3,yes,no,yes,no,no,0,yes,unfurnished,6125000
742,2800,3,2,2,no,no,yes,no,yes,1,no,semi-furnished,4956000
241,3760,3,1,1,yes,no,no,no,no,2,no,semi-furnished,4550000
96,9000,3,1,1,yes,no,yes,no,no,1,yes,furnished,6300000
222,9166,2,1,1,yes,no,yes,no,yes,2,no,semi-furnished,4760000
1078,2400,3,1,2,yes,no,no,no,no,0,no,unfurnished,2100000
462,2160,3,1,2,no,no,yes,no,no,0,no,semi-furnished,3080000
1028,6615,3,1,2,yes,no,no,no,no,0,no,semi-furnished,2940000
454,4500,3,1,2,yes,no,no,no,yes,0,no,unfurnished,3143000
499,3630,3,3,2,no,yes,no,no,no,0,no,unfurnished,2660000
849,8250,3,1,1,yes,no,yes,no,no,3,no,semi-furnished,4193000
481,2700,2,1,1,no,no,no,no,no,0,no,furnished,2940000
620,4260,4,2,2,yes,no,no,yes,no,0,no,semi-furnished,6650000
26,6000,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished,8463000
72,5020,3,1,4,yes,no,no,no,yes,0,yes,unfurnished,6720000
446,3986,2,2,1,no,yes,yes,no,no,1,no,unfurnished,3150000
888,4080,2,1,1,yes,no,no,no,no,0,no,semi-furnished,3850000
828,4360,4,1,2,yes,no,no,no,no,0,no,furnished,4270000
867,3460,3,2,1,yes,no,yes,no,yes,1,no,furnished,4025000
353,2856,3,1,3,yes,no,no,no,no,0,yes,furnished,3780000
1046,2430,3,1,1,no,no,no,no,no,0,no,unfurnished,2660000
689,4700,4,1,2,yes,yes,yes,no,yes,1,no,furnished,5600000
83,6000,3,2,4,yes,no,no,no,yes,0,no,semi-furnished,6580000
895,3420,2,1,2,yes,no,no,yes,no,1,no,semi-furnished,3780000
356,2520,5,2,1,no,no,yes,no,yes,1,no,furnished,3773000
688,4800,5,2,3,no,no,yes,yes,no,0,no,unfurnished,5600000
583,6000,3,1,4,yes,yes,no,no,yes,2,no,unfurnished,7962500
562,8500,3,2,4,yes,no,no,no,yes,2,no,furnished,8960000
113,9620,3,1,1,yes,no,yes,no,no,2,yes,furnished,6083000
488,5200,4,1,3,yes,no,no,no,no,0,no,unfurnished,2852500
658,9620,3,1,1,yes,no,yes,no,no,2,yes,furnished,6083000
541,2400,3,1,1,no,no,no,no,no,0,no,semi-furnished,1767150
403,12944,3,1,1,yes,no,no,no,no,0,no,unfurnished,3500000
615,4000,3,2,2,yes,no,yes,no,yes,0,yes,semi-furnished,6790000
82,10500,3,2,1,yes,no,yes,no,yes,1,yes,furnished,6615000
801,4000,3,1,2,yes,no,no,no,no,2,no,furnished,4480000
823,3400,3,1,2,yes,no,yes,no,no,2,yes,semi-furnished,4277000
423,3750,3,1,1,yes,no,no,no,no,0,no,unfurnished,3360000
367,3630,2,1,1,yes,no,no,no,yes,0,no,unfurnished,3675000
204,4770,3,1,1,yes,yes,yes,no,no,0,no,semi-furnished,4900000
506,2910,2,1,1,no,no,no,no,no,0,no,unfurnished,2604000
745,4520,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished,4900000
1016,3750,3,1,2,yes,no,no,no,no,0,no,unfurnished,3010000
65,8880,3,2,2,yes,no,yes,no,yes,1,no,furnished,6930000
551,8580,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished,10150000
695,5136,3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished,5600000
1082,1700,3,1,2,yes,no,no,no,no,0,no,unfurnished,1890000
263,3968,3,1,2,no,no,no,no,no,0,no,semi-furnished,4410000
80,6000,3,1,2,yes,no,no,yes,no,1,yes,semi-furnished,6629000
587,6480,3,2,4,yes,no,no,no,yes,2,no,unfurnished,7700000
114,6800,2,1,1,yes,yes,yes,no,no,2,no,furnished,6020000
537,1700,3,1,2,yes,no,no,no,no,0,no,unfurnished,1890000
202,4120,2,1,1,yes,no,yes,no,no,1,no,semi-furnished,4900000
438,4500,2,1,1,no,no,no,no,no,0,no,semi-furnished,3255000
554,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished,9800000
38,6000,3,1,4,yes,yes,no,no,yes,2,no,unfurnished,7962500
853,4046,3,1,2,yes,no,yes,no,no,1,no,semi-furnished,4165000
305,3450,3,1,2,yes,no,no,no,no,1,no,semi-furnished,4193000
799,4510,4,1,2,yes,no,no,no,yes,2,no,semi-furnished,4480000
458,3850,3,1,2,yes,no,no,no,no,0,no,unfurnished,3115000
713,4260,4,1,2,yes,no,yes,no,yes,0,no,furnished,5250000
129,11460,3,1,3,yes,no,no,no,no,2,yes,semi-furnished,5873000
250,3510,3,1,3,yes,no,no,no,no,0,no,semi-furnished,4515000
654,6615,4,2,2,yes,yes,no,yes,no,1,no,semi-furnished,6090000
982,5880,3,1,1,yes,no,no,no,no,1,no,unfurnished,3290000
577,4880,4,2,2,yes,no,no,no,yes,1,yes,furnished,8295000
193,4800,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished,5033000
336,8080,3,1,1,yes,no,no,no,yes,2,no,semi-furnished,3920000
513,4400,3,1,2,yes,no,no,no,no,0,no,unfurnished,2485000
294,4000,4,2,2,no,no,no,no,no,0,no,semi-furnished,4200000
153,3300,3,3,2,yes,no,yes,no,no,0,no,semi-furnished,5530000
381,4000,2,1,1,yes,no,no,no,no,0,yes,semi-furnished,3605000
794,4990,4,2,2,yes,yes,yes,no,no,0,yes,furnished,4543000
448,4095,2,1,1,yes,no,no,no,no,2,no,semi-furnished,3150000
741,7686,3,1,1,yes,yes,yes,yes,no,0,no,semi-furnished,4970000
669,6525,3,2,4,yes,no,no,no,no,1,no,furnished,5950000
981,2145,3,1,2,yes,no,yes,no,no,0,yes,furnished,3290000
51,6325,3,1,4,yes,no,no,no,yes,1,no,unfurnished,7420000
339,3180,4,2,2,yes,no,no,no,no,0,no,furnished,3885000
401,9500,3,1,2,yes,no,no,no,no,3,yes,unfurnished,3500000
774,9667,4,2,2,yes,yes,yes,no,no,1,no,semi-furnished,4690000
24,8800,3,2,2,yes,no,no,no,yes,2,no,furnished,8575000
594,7440,3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished,7420000
875,4050,2,1,2,yes,yes,yes,no,no,0,yes,unfurnished,3990000
1034,3300,3,1,2,no,no,no,no,no,1,no,semi-furnished,2835000
837,2747,4,2,2,no,no,no,no,no,0,no,semi-furnished,4200000
116,6900,3,2,1,yes,yes,yes,no,no,0,yes,unfurnished,6020000
822,10360,2,1,1,yes,no,no,no,no,1,yes,semi-furnished,4305000
1041,4000,2,1,1,yes,no,no,no,no,0,no,unfurnished,2695000
380,4500,2,1,1,yes,no,no,no,no,0,no,semi-furnished,3605000
347,3350,3,1,2,yes,no,no,no,no,0,no,unfurnished,3836000
836,2953,3,1,2,yes,no,yes,no,yes,0,no,unfurnished,4200000
877,5500,4,1,2,yes,yes,yes,no,no,0,no,semi-furnished,3920000
505,4000,3,1,2,yes,no,no,no,yes,0,no,unfurnished,2653000
1079,3000,4,1,2,yes,no,no,no,no,0,no,unfurnished,2100000
1060,3210,3,1,2,yes,no,yes,no,no,0,no,unfurnished,2450000
487,5400,4,1,2,yes,no,no,no,no,0,no,unfurnished,2870000
704,3150,3,2,1,yes,yes,yes,no,yes,0,no,furnished,5460000
171,10269,3,1,1,yes,no,no,no,no,1,yes,semi-furnished,5250000
535,3360,2,1,1,yes,no,no,no,no,1,no,unfurnished,2100000
430,2500,2,1,1,no,no,no,no,yes,0,no,unfurnished,3290000
517,3000,2,1,1,yes,no,no,no,no,1,no,unfurnished,2450000
720,9800,4,2,2,yes,yes,no,no,no,2,no,semi-furnished,5250000
413,1950,3,2,2,yes,no,yes,no,no,0,yes,unfurnished,3430000
28,7950,5,2,2,yes,no,yes,yes,no,2,no,unfurnished,8400000
757,3420,4,2,2,yes,no,yes,no,yes,2,no,semi-furnished,4893000
490,4350,3,1,2,no,no,no,yes,no,1,no,unfurnished,2835000
1049,3185,2,1,1,yes,no,no,no,yes,0,no,unfurnished,2653000
1048,4000,3,1,1,yes,no,no,no,no,0,no,semi-furnished,2660000
555,13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished,9800000
144,4700,4,1,2,yes,yes,yes,no,yes,1,no,furnished,5600000
1076,5300,3,1,1,no,no,no,no,yes,0,yes,unfurnished,2233000
785,3840,3,1,2,yes,no,no,no,no,1,yes,semi-furnished,4585000
249,4990,4,2,2,yes,yes,yes,no,no,0,yes,furnished,4543000
17,8500,3,2,4,yes,no,no,no,yes,2,no,furnished,8960000
174,3800,3,1,2,yes,yes,yes,no,no,1,yes,unfurnished,5250000
544,3850,3,1,2,yes,no,no,no,no,0,no,unfurnished,1750000
56,11440,4,1,2,yes,no,yes,no,no,1,yes,semi-furnished,7343000
442,2684,2,1,1,yes,no,no,no,yes,1,no,unfurnished,3220000
255,5885,2,1,1,yes,no,no,no,yes,1,no,unfurnished,4480000
1061,3240,2,1,1,no,yes,no,no,no,1,no,unfurnished,2450000
1059,3000,3,1,2,no,no,no,no,no,0,no,semi-furnished,2485000
410,3850,3,1,1,yes,no,no,no,no,0,no,unfurnished,3430000
57,9000,4,2,4,yes,yes,no,no,yes,1,yes,furnished,7245000
787,3640,3,1,2,yes,no,no,no,yes,0,no,furnished,4550000
88,7410,3,1,1,yes,yes,yes,no,yes,2,yes,unfurnished,6475000
580,7000,3,2,4,yes,no,no,no,yes,2,no,furnished,8080940
501,2430,3,1,1,no,no,no,no,no,0,no,unfurnished,2660000
233,4160,3,1,1,yes,yes,yes,no,yes,0,no,unfurnished,4620000
234,3880,3,2,2,yes,no,yes,no,no,2,no,semi-furnished,4620000
81,4000,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished,6615000
777,3745,3,1,2,yes,no,yes,no,no,0,no,furnished,4655000
883,3780,2,1,2,yes,yes,yes,no,no,0,no,semi-furnished,3885000
530,1950,3,1,1,no,no,no,yes,no,0,no,unfurnished,2240000
491,2640,2,1,1,no,no,no,no,no,1,no,furnished,2835000
796,3450,3,1,2,yes,no,yes,no,no,1,no,semi-furnished,4515000
213,4995,4,2,1,yes,no,yes,no,no,0,no,semi-furnished,4893000
203,5400,4,1,2,yes,no,no,no,no,0,no,semi-furnished,4900000
229,9667,4,2,2,yes,yes,yes,no,no,1,no,semi-furnished,4690000
436,2145,3,1,2,yes,no,yes,no,no,0,yes,furnished,3290000
215,4160,3,1,3,yes,no,no,no,no,0,no,unfurnished,4830000
20,4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished,8750000
984,3930,2,1,1,no,no,no,no,no,0,no,unfurnished,3255000
99,6000,4,1,3,yes,yes,yes,no,no,0,yes,unfurnished,6265000
9,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished,9800000
656,8372,3,1,3,yes,no,no,no,yes,2,no,unfurnished,6090000
188,5720,2,1,2,yes,no,no,no,yes,0,yes,unfurnished,5075000
790,5360,3,1,2,yes,no,no,no,no,2,yes,unfurnished,4550000
1086,2400,3,1,1,no,no,no,no,no,0,no,semi-furnished,1767150
565,4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished,8750000
916,3570,3,1,2,yes,no,yes,no,no,0,no,semi-furnished,3640000
182,3410,3,1,2,no,no,no,no,yes,0,no,semi-furnished,5145000
284,7770,2,1,1,yes,no,no,no,no,1,no,furnished,4270000
130,4800,3,1,1,yes,yes,yes,no,no,0,no,unfurnished,5866000
760,4160,3,1,3,yes,no,no,no,no,0,no,unfurnished,4830000
1021,5850,3,1,2,yes,no,yes,no,no,1,no,unfurnished,2940000
817,4075,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished,4340000
534,3000,4,1,2,yes,no,no,no,no,0,no,unfurnished,2100000
125,15600,3,1,1,yes,no,no,no,yes,2,no,semi-furnished,5943000
605,6000,3,2,2,yes,yes,no,no,no,1,no,semi-furnished,7140000
937,3990,3,1,2,yes,no,no,no,no,0,no,semi-furnished,3500000
206,5800,2,1,1,yes,yes,yes,no,yes,0,no,semi-furnished,4900000
575,7475,3,2,4,yes,no,no,no,yes,2,no,unfurnished,8400000
894,4820,3,1,2,yes,no,no,no,no,0,no,semi-furnished,3780000
529,3970,3,1,2,yes,no,yes,no,no,0,no,unfurnished,2275000
163,6825,3,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished,5425000
979,3792,4,1,2,yes,no,no,no,no,0,no,semi-furnished,3290000
302,2145,3,1,3,yes,no,no,no,no,1,yes,unfurnished,4200000
729,3000,3,2,2,yes,yes,yes,no,no,0,no,furnished,5110000
714,6540,4,2,2,no,no,no,no,yes,0,no,semi-furnished,5250000
185,3000,3,1,2,yes,no,yes,no,no,0,no,unfurnished,5110000
69,12090,4,2,2,yes,no,no,no,no,2,yes,furnished,6790000
747,4120,2,1,1,yes,no,yes,no,no,1,no,semi-furnished,4900000
287,5500,3,1,2,yes,no,no,no,yes,0,no,unfurnished,4200000
941,3640,2,1,1,yes,no,no,no,no,1,no,semi-furnished,3500000
581,7482,3,2,3,yes,no,no,yes,no,1,yes,furnished,8043000
765,8100,4,1,4,yes,no,yes,no,yes,2,no,semi-furnished,4795000
832,5500,3,1,2,yes,no,no,no,yes,0,no,unfurnished,4200000
437,5880,3,1,1,yes,no,no,no,no,1,no,unfurnished,3290000
502,3480,2,1,1,yes,no,no,no,no,1,no,semi-furnished,2660000
569,8800,3,2,2,yes,no,no,no,yes,2,no,furnished,8575000
351,3600,2,1,1,yes,no,no,no,no,0,no,semi-furnished,3780000
756,12900,3,1,1,yes,no,no,no,no,2,no,furnished,4900000
447,3500,2,1,1,no,no,yes,no,no,0,no,semi-furnished,3150000
709,6710,3,2,2,yes,yes,yes,no,no,1,yes,furnished,5390000
533,2400,3,1,2,yes,no,no,no,no,0,no,unfurnished,2100000
445,3450,1,1,1,yes,no,no,no,no,0,no,furnished,3150000
677,5200,3,1,3,yes,no,no,no,yes,0,no,semi-furnished,5810000
848,4500,3,1,1,yes,no,yes,no,no,0,no,furnished,4200000
521,3635,2,1,1,no,no,no,no,no,0,no,unfurnished,2408000
859,4040,2,1,2,yes,no,no,no,no,1,no,semi-furnished,4095000
878,3000,3,1,2,yes,no,no,no,no,0,no,semi-furnished,3920000
744,4200,3,1,2,yes,no,no,no,no,1,no,furnished,4907000
623,5700,3,1,1,yes,yes,yes,no,yes,2,yes,furnished,6650000
633,7410,3,1,1,yes,yes,yes,no,yes,2,yes,unfurnished,6475000
383,4500,4,2,2,yes,no,yes,no,no,2,no,furnished,3570000
469,4600,2,1,1,yes,no,no,no,no,0,no,furnished,3010000
514,3000,3,1,2,no,no,no,no,no,0,no,semi-furnished,2485000
708,6825,3,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished,5425000
835,2610,4,3,2,no,no,no,no,no,0,no,semi-furnished,4200000
